Scrape version,scrape_phase,creator_username,niche,post_id,post_url,post_type,posted_at,scraped_at,caption,hashtags,hashtag_count,views,likes,comments_count,shares,scrape_mode,,,,,,,,,,,,,,,,
1,post_content,ashwiniisharmaa,Beauty,DTSYnXTCHuY,https://www.instagram.com/Ashwiniisharmaa/reel/DTSYnXTCHuY/,reel,Jan-09,2026-02-04T00:00:00+05:30,"I finally tried some viral Milk Makeup products and here's my honest take ✨ #ashapproved products hydro grip primer, hydro gel skin tint & hydro grip refreshing setting spray 💦 #notsponsored #viralmakeup #makeupreviews #milkmakeup",#ashapproved #notsponsored #viralmakeup #makeupreviews #milkmakeup,5,null,218,26,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,ashwiniisharmaa,Beauty,DTMp5UJCE96,https://www.instagram.com/Ashwiniisharmaa/reel/DTMp5UJCE96/,reel,Jan-07,2026-02-04T00:00:00+05:30,POV: you finally got your first advent calendar ✨🎁 #unboxing #adventcalendar #wishlist #explorepage #beautycreator,#unboxing #adventcalendar #wishlist #explorepage #beautycreator,5,null,173,22,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,ashwiniisharmaa,Beauty,DTAaHR3CKSK,https://www.instagram.com/Ashwiniisharmaa/reel/DTAaHR3CKSK/,reel,Jan-02,2026-02-04T00:00:00+05:30,"Unboxing with sound effects, commentary & zero calm 😍✨ 10 years of friendship and still this dramatic 😂😭😭 #unboxing #friendshipgoals #makeuphaul #girlgang #foryou",#unboxing #friendshipgoals #makeuphaul #girlgang #foryou,5,null,267,30,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,ashwiniisharmaa,Beauty,DSzFaGIiJXt,https://www.instagram.com/Ashwiniisharmaa/reel/DSzFaGIiJXt/,reel,28-Dec-25,2026-02-04T00:00:00+05:30,this is my favourite scene ✨ collecting sunsets one beach at a time 📸✨ #sunsets #goldenhour #maincharacterenergy #beachsunset #beachgirl,#sunsets #goldenhour #maincharacterenergy #beachsunset #beachgirl,5,null,173,15,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,ashwiniisharmaa,Beauty,DSoxsu6CABd,https://www.instagram.com/Ashwiniisharmaa/reel/DSoxsu6CABd/,reel,24-Dec-25,2026-02-04T00:00:00+05:30,Frosty icy princess makeup look tutorial ❄️ used everything from @hudabeauty create this look ✨❄️ #iceprincess #frostymakeup #makeuptutorial #hudabeauty #wintermakeup,#iceprincess #frostymakeup #makeuptutorial #hudabeauty #wintermakeup,5,null,206,21,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,ashwiniisharmaa,Beauty,DSmxA7tiEFg,https://www.instagram.com/Ashwiniisharmaa/reel/DSmxA7tiEFg/,reel,23-Dec-25,2026-02-04T00:00:00+05:30,Ice princess makeup is too pretty ❄️👑 #makeuptransition #iceprincess #makeupvideos #makeup #winter,#makeuptransition #iceprincess #makeupvideos #makeup #winter,5,null,257,30,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,muskanr_,Beauty,DUSyoWuCOCE,https://www.instagram.com/Muskanr_/reel/DUSyoWuCOCE/,reel,8h,2026-02-04T01:00:00+05:30,can't get enough ✨ #euphoria #makeup #euphoriamakeup #transition,#euphoria #makeup #euphoriamakeup #transition,4,null,801,23,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,muskanr_,Beauty,DUP25ykCImq,https://www.instagram.com/Muskanr_/reel/DUP25ykCImq/,reel,1d,2026-02-04T01:00:00+05:30,euphoric 😶✨ #euphoria #makeup #euphoriamakeup,#euphoria #makeup #euphoriamakeup,3,null,1K,41,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,Muskanr_,Beauty,DTUm7Mbk01h,https://www.instagram.com/Muskanr_/reel/DTUm7Mbk01h/,reel,Jan-10,2026-02-04T01:00:00+05:30,"you look happy of course, i'm back home ❤️😭 Vayu • Jonita",,0,null,1.1K,6,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,Muskanr_,Beauty,DM0XY9VTz4g,https://www.instagram.com/Muskanr_/reel/DM0XY9VTz4g/,reel,Aug-01,2026-02-04T01:05:00+05:30,Obsessed is an understatement! 💋 Tried the Kylie Cosmetics iconic Lip Kit,#KylieCosmetics #BetterNotPout #KylashMascara #kylielipkit,4,null,null,15,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,muskanr_,Beauty,DUSyoWuCOCE,https://www.instagram.com/Muskanr_/reel/DUSyoWuCOCE/,reel,9h,2026-02-04T02:00:00+05:30,can't get enough ✨ #euphoria #makeup #euphoriamakeup #transition,#euphoria #makeup #euphoriamakeup #transition,4,null,825,23,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,muskanr_,Beauty,DUP25ykCImq,https://www.instagram.com/Muskanr_/reel/DUP25ykCImq/,reel,1d,2026-02-04T02:00:00+05:30,euphoric 🩩✨ #euphoria #makeup #euphoriamakeup,#euphoria #makeup #euphoriamakeup,3,null,1000,41,null,visible_ui_only,,,,,,,,,,,,,,,,
